"OVRL_HEALTH" "SELFDESC_WEIGHT" "MIN_MOD_PA"
"501" "Very Good" "Slightly overweight" 120
"502" "Fair" "About the right weight" 240
"503" "Very Good" "About the right weight" 30
"504" "Very Good" "About the right weight" 60
"505" "Good" "About the right weight" 300
"506" "Very Good" "About the right weight" 500
"507" "Very Good" "About the right weight" 160
"508" "Fair" "Very overweight" 30
"509" "Fair" "Slightly overweight" 180
"510" "Good" "About the right weight" 120
"511" "Poor" "Slightly overweight" 15
"512" "Good" "About the right weight" 480
"513" "Very Good" "Slightly overweight" 400
"514" "Very Good" "About the right weight" 60
"515" "Good" "About the right weight" 60
"516" "Good" "About the right weight" 120
"517" "Good" "Very overweight" 120
"518" "Very Good" "About the right weight" 240
"519" "Very Good" "Slightly overweight" 120
"520" "Very Good" "About the right weight" 80
"521" "Good" "Slightly overweight" 2880
"522" "Good" "Slightly underweight" 120
"523" "Good" "Slightly overweight" 60
"524" "Very Good" "Slightly overweight" 120
"525" "Good" "About the right weight" 0
"526" "Fair" "Slightly overweight" NA
"527" "Very Good" "Slightly underweight" 50
"528" "Fair" "Slightly overweight" 120
"529" "Very Good" "About the right weight" 160
"530" "Good" "Slightly overweight" 60
"531" "Good" "About the right weight" 300
"532" "Fair" "Very overweight" 100
"533" "Good" "About the right weight" 40
"534" "Good" "Very underweight" 2520
"535" "Very Good" "About the right weight" 120
"536" "Very Good" "About the right weight" 30
"537" "Good" "About the right weight" 60
"538" "Good" "Slightly overweight" 180
"539" "Good" "Slightly overweight" 350
"540" "Very Good" "About the right weight" 30
"541" "Good" "Slightly overweight" 120
"542" "Very Good" "Very overweight" 2
"543" "Very Good" "About the right weight" 300
"544" "Good" "Very overweight" 120
"545" "Fair" "Slightly overweight" 30
"546" "Fair" "About the right weight" 120
"547" "Good" "About the right weight" 240
"548" "Fair" "Slightly overweight" 30
"549" "Very Good" "Slightly overweight" 480
"550" "Very Good" "Slightly overweight" 420
"551" "Very Good" "About the right weight" 300
"552" "Excellent" "About the right weight" 60
"553" "Fair" "About the right weight" 140
"554" "Good" "Slightly overweight" 90
"555" "Good" "Slightly overweight" 90
"556" NA "Very overweight" 10
"557" "Fair" "Very overweight" 7
"558" "Very Good" "About the right weight" 15
"559" "Fair" "Slightly overweight" 90
"560" "Good" "About the right weight" 430
"561" "Very Good" "Slightly overweight" 840
"562" "Good" "About the right weight" 600
"563" "Good" "Slightly overweight" 60
"564" "Fair" "About the right weight" 240
"565" "Very Good" "About the right weight" 60
"566" "Good" "About the right weight" 90
"567" "Very Good" "About the right weight" 360
"568" "Very Good" "Slightly overweight" 180
"569" "Poor" "Very underweight" 900
"570" "Good" "About the right weight" 120
"571" "Good" "About the right weight" 360
"572" "Good" "About the right weight" 30
"573" "Good" "Slightly overweight" 1260
"574" "Good" "About the right weight" 400
"575" "Very Good" "Slightly overweight" 120
"576" "Poor" "Slightly underweight" 60
"577" "Fair" "Very overweight" 120
"578" "Fair" "About the right weight" 110
"579" "Very Good" "About the right weight" 180
"580" "Excellent" "About the right weight" 260
"581" "Very Good" "About the right weight" 90
